0.6353,0.4027,0.4179,0.4522,0.4961,0.9,0.5081,0.899
0.6425,0.404,0.3634,0.5093,0.5091,0.8993,0.495,0.9013
0.6626,0.3869,0.334,0.5201,0.5424,0.8814,0.4726,0.8849
0.665,0.3665,0.3281,0.5313,0.5428,0.8904,0.4724,0.9005
0.674,0.3664,0.3125,0.5307,0.5354,0.8896,0.466,0.8863
0.6794,0.3681,0.3035,0.5302,0.5418,0.8824,0.4649,0.8889
0.6801,0.3714,0.3033,0.5285,0.5436,0.8772,0.4671,0.8888
0.686,0.3631,0.2875,0.5388,0.534,0.8891,0.4616,0.8899
0.6886,0.3638,0.2829,0.5376,0.5367,0.8827,0.464,0.889
0.69,0.3669,0.2809,0.5401,0.5307,0.8953,0.4616,0.8898
0.6911,0.3687,0.2844,0.5327,0.5339,0.8927,0.4659,0.8934
0.6807,0.37,0.2942,0.5255,0.5367,0.8868,0.4649,0.8892
0.681,0.3565,0.2957,0.5201,0.5358,0.8924,0.4704,0.8961
0.6676,0.3735,0.3347,0.4985,0.5287,0.884,0.4701,0.9002
0.5942,0.4194,0.3783,0.4296,0.5348,0.8945,0.4726,0.8979
0.5818,0.4264,0.4034,0.4104,0.5274,0.8859,0.4726,0.8936
0.5923,0.469,0.429,0.3883,0.532,0.8868,0.4723,0.902
0.5718,0.5029,0.4396,0.3798,0.5303,0.8962,0.4738,0.9034
0.55,0.5146,0.4646,0.3742,0.5341,0.8866,0.472,0.9015
0.5307,0.5535,0.5069,0.3537,0.5282,0.897,0.4732,0.9031
0.5339,0.5614,0.5029,0.3589,0.5255,0.8945,0.4786,0.9052
0.5359,0.5757,0.5216,0.3401,0.5299,0.8949,0.4778,0.9007
0.5398,0.5704,0.5122,0.3605,0.5262,0.8951,0.4782,0.9076
0.5437,0.5736,0.5045,0.367,0.5317,0.8965,0.484,0.9063
0.5404,0.5651,0.505,0.3631,0.529,0.8959,0.4827,0.903
0.5334,0.5649,0.4946,0.3839,0.5213,0.8989,0.4864,0.9087
0.5512,0.5585,0.4693,0.3739,0.5291,0.8978,0.4812,0.9058
0.5511,0.5582,0.4694,0.3744,0.529,0.8958,0.4815,0.9043
0.5808,0.5398,0.4561,0.3638,0.5275,0.8937,0.4805,0.9046
0.5896,0.5255,0.4573,0.3554,0.5282,0.8942,0.4787,0.903
0.5972,0.5311,0.4544,0.3518,0.5247,0.8868,0.4744,0.8921
0.6036,0.5314,0.4632,0.3524,0.5361,0.8518,0.4625,0.8448
0.6021,0.5317,0.4792,0.349,0.5312,0.8565,0.4627,0.8506
0.595,0.5364,0.4864,0.3466,0.5322,0.8868,0.4778,0.8945
0.5949,0.5365,0.4867,0.3465,0.5314,0.8875,0.4778,0.8954
0.5606,0.5531,0.5668,0.354,0.51,0.8962,0.4925,0.9
0.5077,0.5451,0.5603,0.5434,0.4914,0.8869,0.5104,0.8889
0.5801,0.5328,0.5298,0.3541,0.5271,0.8929,0.4803,0.9056
0.5922,0.5144,0.5182,0.3548,0.5273,0.8896,0.4778,0.9071
0.5929,0.5148,0.5195,0.355,0.5296,0.887,0.477,0.9068
0.6139,0.4117,0.4741,0.3658,0.5384,0.8811,0.4774,0.9015
0.6175,0.4067,0.4583,0.369,0.5383,0.885,0.4726,0.8942
0.5774,0.3684,0.4378,0.3913,0.5321,0.8875,0.4695,0.8975
0.5768,0.3689,0.4364,0.3908,0.5318,0.8876,0.4692,0.897
0.6146,0.3121,0.4228,0.3775,0.545,0.8769,0.4776,0.8907
0.6146,0.302,0.4189,0.3996,0.5379,0.8788,0.4734,0.8958
0.6086,0.3109,0.4461,0.4105,0.535,0.8804,0.47,0.8911
0.6029,0.3127,0.4464,0.4068,0.5319,0.8806,0.4684,0.8901
0.5689,0.348,0.4789,0.38,0.532,0.8852,0.4802,0.8863
0.5477,0.3653,0.4911,0.35,0.5348,0.8833,0.4789,0.8914
0.5809,0.3083,0.4878,0.3894,0.5382,0.878,0.476,0.888
0.5707,0.3024,0.4846,0.3625,0.5396,0.8797,0.4764,0.8978
0.5567,0.3263,0.5021,0.3839,0.5383,0.8809,0.4739,0.9001
0.5552,0.3183,0.4932,0.3782,0.5406,0.8781,0.4743,0.8951
0.5675,0.3236,0.4795,0.3713,0.5461,0.8767,0.4785,0.8955
0.5675,0.3245,0.4797,0.3727,0.5458,0.8757,0.4786,0.8952
